OMEN_ID;X;Y;Z;Efield;Approved
42692999;-23.4194782245;56.5326923738;10;4.48976161052;Yes
42693000;11.5661364555;79.4979854517;10;4.11130973656;Yes
61677004;40.2443662311;-74.4351569039;10;2.80137670077;Yes
61677005;5.5259192843;-36.2724725955;10;6.42142673974;No
90255466;-11.3746662467;-36.497338771;10;4.38344782472;Yes
90255474;-35.4286678379;-36.2991893688;10;1.66310652747;Yes
136053315;-10.8403307802;58.2024907069;10;5.2217158371;No
136053316;-41.7761279022;59.0151258958;10;3.33230027834;Yes
136053317;-53.2843780156;58.310470999;10;2.63405625979;Yes
136053320;7.73227948225;68.2791670493;10;5.04757564519;No
319526685;6.80609800655;-7.76567544884;10;20.3603921542;No
319526686;-1.81228779117;-2.85646834873;10;34.9768419936;No
319526691;-74.8937948467;-29.1947540599;10;0.4678684225;Yes
319526693;-47.1417465467;-3.6089907974;10;0.821112066733;Yes
319526696;-10.3727872467;1.80783499564;10;6.29965160047;No
369454909;8.5827634333;-64.3718389483;10;3.60302808984;Yes
467221045;49.1944852978;-48.6423386483;10;2.87331185762;Yes
467221046;55.4951910088;-25.0759181712;10;2.13768357428;Yes
467221047;63.6727500466;-5.14965805959;10;1.21442786111;Yes
